group	pTM_A	pTM_DNA	pTM_MG	pTM_C	pTM_rep	ipTM_A	ipTM_DNA	ipTM_MG	ipTM_C	ipTM_rep	ipTM_A_DNA	ipTM_A_MG	ipTM_DNA_MG	ipTM_A_C	ipTM_C_MG	ipTM_A_rep	ipTM_C_DNA	ipTM_C_rep	ipTM_DNA_rep	ipTM_MG_rep	ipSAE_A_DNA	ipSAE_d0chn_A_DNA	ipSAE_d0dom_A_DNA	ipTM_af_ipSAE_15_A_DNA	ipTM_d0chn_ipSAE_15_A_DNA	pDockQ_ipSAE_15_A_DNA	pDockQ2_ipSAE_15_A_DNA	LIS_ipSAE_15_A_DNA	ipSAE_A_C	ipSAE_d0chn_A_C	ipSAE_d0dom_A_C	ipTM_af_ipSAE_15_A_C	ipTM_d0chn_ipSAE_15_A_C	pDockQ_ipSAE_15_A_C	pDockQ2_ipSAE_15_A_C	LIS_ipSAE_15_A_C	ipSAE_A_rep	ipSAE_d0chn_A_rep	ipSAE_d0dom_A_rep	ipTM_af_ipSAE_15_A_rep	ipTM_d0chn_ipSAE_15_A_rep	pDockQ_ipSAE_15_A_rep	pDockQ2_ipSAE_15_A_rep	LIS_ipSAE_15_A_rep	ipSAE_C_DNA	ipSAE_d0chn_C_DNA	ipSAE_d0dom_C_DNA	ipTM_af_ipSAE_15_C_DNA	ipTM_d0chn_ipSAE_15_C_DNA	pDockQ_ipSAE_15_C_DNA	pDockQ2_ipSAE_15_C_DNA	LIS_ipSAE_15_C_DNA	ipSAE_C_rep	ipSAE_d0chn_C_rep	ipSAE_d0dom_C_rep	ipTM_af_ipSAE_15_C_rep	ipTM_d0chn_ipSAE_15_C_rep	pDockQ_ipSAE_15_C_rep	pDockQ2_ipSAE_15_C_rep	LIS_ipSAE_15_C_rep	ipSAE_DNA_rep	ipSAE_d0chn_DNA_rep	ipSAE_d0dom_DNA_rep	ipTM_af_ipSAE_15_DNA_rep	ipTM_d0chn_ipSAE_15_DNA_rep	pDockQ_ipSAE_15_DNA_rep	pDockQ2_ipSAE_15_DNA_rep	LIS_ipSAE_15_DNA_rep
gpa_dsDNA_30nt_seed2_model_0	0.86	0.245	NA	NA	NA	0.81	0.46499999999999997	0.42	NA	NA	0.78	0.9	0.19	NA	NA	NA	NA	NA	NA	NA	0.622574	0.704443	0.692715	0.9	0.704443	0.3522	0.3937	0.391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed2_model_1	0.85	0.215	NA	NA	NA	0.74	0.405	0.38	NA	NA	0.68	0.87	0.15	NA	NA	NA	NA	NA	NA	NA	0.461237	0.632331	0.61268	0.87	0.578094	0.2631	0.1818	0.2962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed2_model_2	0.85	0.215	NA	NA	NA	0.73	0.4	0.38	NA	NA	0.68	0.87	0.15	NA	NA	NA	NA	NA	NA	NA	0.467463	0.637525	0.619563	0.87	0.570319	0.2827	0.1995	0.3026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed2_model_3	0.84	0.215	NA	NA	NA	0.72	0.39	0.38	NA	NA	0.66	0.86	0.15	NA	NA	NA	NA	NA	NA	NA	0.459577	0.64386	0.625496	0.86	0.554125	0.2696	0.1554	0.3029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed2_model_4	0.85	0.21	NA	NA	NA	0.7	0.37	0.38	NA	NA	0.62	0.86	0.15	NA	NA	NA	NA	NA	NA	NA	0.462034	0.678645	0.662607	0.86	0.51337	0.2538	0.0949	0.3155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed3_model_0	0.85	0.215	NA	NA	NA	0.71	0.39	0.37	NA	NA	0.65	0.83	0.14	NA	NA	NA	NA	NA	NA	NA	0.52496	0.663205	0.643839	0.83	0.575089	0.3144	0.209	0.3515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed3_model_1	0.86	0.21	NA	NA	NA	0.71	0.385	0.39	NA	NA	0.64	0.87	0.16	NA	NA	NA	NA	NA	NA	NA	0.505845	0.662486	0.641968	0.87	0.544246	0.2703	0.1703	0.3588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed3_model_2	0.86	0.20500000000000002	NA	NA	NA	0.7	0.37	0.36	NA	NA	0.64	0.84	0.12	NA	NA	NA	NA	NA	NA	NA	0.481569	0.650324	0.628833	0.84	0.557974	0.2555	0.2368	0.324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed3_model_3	0.84	0.2	NA	NA	NA	0.68	0.355	0.36	NA	NA	0.61	0.84	0.11	NA	NA	NA	NA	NA	NA	NA	0.472712	0.667059	0.64812	0.84	0.516128	0.2405	0.126	0.3222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed3_model_4	0.84	0.195	NA	NA	NA	0.68	0.345	0.35	NA	NA	0.6	0.83	0.11	NA	NA	NA	NA	NA	NA	NA	0.43105	0.672653	0.65569	0.83	0.521062	0.2715	0.1371	0.321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed4_model_0	0.88	0.235	NA	NA	NA	0.78	0.435	0.41	NA	NA	0.73	0.89	0.17	NA	NA	NA	NA	NA	NA	NA	0.516622	0.653229	0.64023	0.89	0.643916	0.3147	0.2677	0.3324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed4_model_1	0.86	0.235	NA	NA	NA	0.77	0.435	0.4	NA	NA	0.74	0.87	0.17	NA	NA	NA	NA	NA	NA	NA	0.546992	0.659466	0.6472	0.87	0.654302	0.2855	0.2853	0.341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed4_model_2	0.86	0.215	NA	NA	NA	0.73	0.395	0.37	NA	NA	0.68	0.85	0.13	NA	NA	NA	NA	NA	NA	NA	0.482609	0.622205	0.608101	0.85	0.577997	0.2587	0.1555	0.3046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed4_model_3	0.86	0.215	NA	NA	NA	0.7	0.38	0.36	NA	NA	0.64	0.84	0.13	NA	NA	NA	NA	NA	NA	NA	0.442855	0.614662	0.598638	0.84	0.533277	0.2305	0.1216	0.2942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed4_model_4	0.86	0.20500000000000002	NA	NA	NA	0.7	0.375	0.37	NA	NA	0.63	0.85	0.13	NA	NA	NA	NA	NA	NA	NA	0.474698	0.671118	0.656603	0.85	0.518585	0.261	0.1296	0.3178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed5_model_0	0.87	0.245	NA	NA	NA	0.8	0.46499999999999997	0.41	NA	NA	0.77	0.87	0.19	NA	NA	NA	NA	NA	NA	NA	0.611743	0.706543	0.695275	0.87	0.706543	0.3975	0.3726	0.3835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed5_model_1	0.86	0.2	NA	NA	NA	0.72	0.38	0.35	NA	NA	0.67	0.84	0.1	NA	NA	NA	NA	NA	NA	NA	0.419432	0.621452	0.603906	0.84	0.580339	0.2819	0.1812	0.2822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed5_model_2	0.87	0.215	NA	NA	NA	0.71	0.38	0.39	NA	NA	0.64	0.86	0.16	NA	NA	NA	NA	NA	NA	NA	0.494862	0.668532	0.65288	0.86	0.53263	0.2673	0.1037	0.3334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed5_model_3	0.85	0.20500000000000002	NA	NA	NA	0.71	0.38	0.38	NA	NA	0.64	0.87	0.14	NA	NA	NA	NA	NA	NA	NA	0.492916	0.640733	0.619278	0.87	0.555759	0.2139	0.1586	0.3215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed5_model_4	0.86	0.2	NA	NA	NA	0.7	0.37	0.36	NA	NA	0.63	0.85	0.12	NA	NA	NA	NA	NA	NA	NA	0.453161	0.645798	0.627601	0.85	0.547864	0.2575	0.1168	0.3138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed6_model_0	0.85	0.23	NA	NA	NA	0.75	0.42	0.39	NA	NA	0.71	0.87	0.15	NA	NA	NA	NA	NA	NA	NA	0.535472	0.651824	0.63431	0.87	0.62059	0.2864	0.2742	0.3324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed6_model_1	0.85	0.21	NA	NA	NA	0.71	0.38	0.37	NA	NA	0.64	0.87	0.13	NA	NA	NA	NA	NA	NA	NA	0.468214	0.647871	0.631164	0.87	0.541748	0.2482	0.125	0.3183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed6_model_2	0.84	0.19	NA	NA	NA	0.69	0.34	0.35	NA	NA	0.61	0.86	0.09	NA	NA	NA	NA	NA	NA	NA	0.381969	0.614303	0.590599	0.86	0.512491	0.2232	0.1385	0.2739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed6_model_3	0.85	0.20500000000000002	NA	NA	NA	0.69	0.365	0.36	NA	NA	0.61	0.85	0.12	NA	NA	NA	NA	NA	NA	NA	0.436326	0.668891	0.649326	0.85	0.517885	0.2654	0.1081	0.302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed6_model_4	0.85	0.195	NA	NA	NA	0.68	0.35	0.35	NA	NA	0.61	0.84	0.1	NA	NA	NA	NA	NA	NA	NA	0.415835	0.647188	0.626147	0.84	0.500235	0.2505	0.1106	0.2899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed7_model_0	0.88	0.235	NA	NA	NA	0.76	0.435	0.4	NA	NA	0.71	0.87	0.17	NA	NA	NA	NA	NA	NA	NA	0.505817	0.617702	0.6073	0.87	0.601219	0.3256	0.2444	0.3045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed7_model_1	0.88	0.23	NA	NA	NA	0.76	0.42	0.39	NA	NA	0.71	0.87	0.15	NA	NA	NA	NA	NA	NA	NA	0.469917	0.604355	0.592011	0.87	0.592339	0.2635	0.1684	0.2828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed7_model_2	0.88	0.23	NA	NA	NA	0.75	0.425	0.4	NA	NA	0.7	0.87	0.17	NA	NA	NA	NA	NA	NA	NA	0.507603	0.610439	0.597789	0.87	0.585147	0.2776	0.203	0.3091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed7_model_3	0.87	0.20500000000000002	NA	NA	NA	0.72	0.38	0.36	NA	NA	0.66	0.86	0.13	NA	NA	NA	NA	NA	NA	NA	0.436044	0.579317	0.566115	0.86	0.539109	0.2734	0.1731	0.2757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed7_model_4	0.87	0.21	NA	NA	NA	0.7	0.375	0.37	NA	NA	0.63	0.86	0.14	NA	NA	NA	NA	NA	NA	NA	0.463693	0.65459	0.640223	0.86	0.504607	0.2505	0.1308	0.3005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed8_model_0	0.86	0.235	NA	NA	NA	0.77	0.45	0.42	NA	NA	0.73	0.88	0.2	NA	NA	NA	NA	NA	NA	NA	0.59104	0.673469	0.658782	0.88	0.647901	0.3271	0.2727	0.361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed8_model_1	0.86	0.215	NA	NA	NA	0.73	0.405	0.4	NA	NA	0.66	0.87	0.18	NA	NA	NA	NA	NA	NA	NA	0.52082	0.666353	0.649384	0.87	0.581118	0.3232	0.2226	0.3463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed8_model_2	0.85	0.225	NA	NA	NA	0.73	0.41000000000000003	0.39	NA	NA	0.67	0.85	0.18	NA	NA	NA	NA	NA	NA	NA	0.541459	0.659238	0.642954	0.85	0.58866	0.2925	0.1906	0.3403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed8_model_3	0.86	0.215	NA	NA	NA	0.72	0.395	0.4	NA	NA	0.65	0.87	0.18	NA	NA	NA	NA	NA	NA	NA	0.511868	0.655648	0.637928	0.87	0.550809	0.304	0.1318	0.3398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed8_model_4	0.86	0.20500000000000002	NA	NA	NA	0.71	0.38	0.38	NA	NA	0.64	0.85	0.15	NA	NA	NA	NA	NA	NA	NA	0.465912	0.636423	0.618641	0.85	0.553894	0.3038	0.161	0.3078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed9_model_0	0.87	0.235	NA	NA	NA	0.77	0.44	0.41	NA	NA	0.72	0.88	0.17	NA	NA	NA	NA	NA	NA	NA	0.541301	0.639143	0.627408	0.88	0.63214	0.2578	0.2069	0.3314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gpa_dsDNA_30nt_seed9_model_1	0.87	0.23	NA	NA	NA	0.75	0.425	0.39	NA	NA	0.7	0.86	0.16	NA	NA	NA	NA	NA	NA	NA	0.538942	0.647683	0.632308	0.86	0.605777	0.2867	0.2319	0.3413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
