protein	Jobs	database	Download	bitscore	Meff	Meff_L	quality
G	G_EVcouplings_UniRef100	UniRef100	Done	0.7	10	0.1	0
G	G_EVcouplings_UniRef100	UniRef100	Done	0.8	9	0.1	0
G	G_EVcouplings_UniRef100	UniRef100	Done	0.9	9	0.1	0
H	H_EVcouplings_UniRef100	UniRef100	Done	0.1	12	0	0
H	H_EVcouplings_UniRef100	UniRef100	Done	0.2	10	0	0
H	H_EVcouplings_UniRef100	UniRef100	Done	0.3	10	0	0
H	H_EVcouplings_UniRef100	UniRef100	Done	0.4	10	0	0
H	H_EVcouplings_UniRef100	UniRef100	Done	0.5	8	0	0
H	H_EVcouplings_UniRef100	UniRef100	Done	0.6	8	0	0
H	H_EVcouplings_UniRef100	UniRef100	Done	0.7	8	0	0
H	H_EVcouplings_UniRef100	UniRef100	Done	0.8	6	0	0
H	H_EVcouplings_UniRef100	UniRef100	Done	0.9	6	0	0
J	J_EVcouplings_UniRef100	UniRef100	Done	0.1	21309	1065	8
J	J_EVcouplings_UniRef100	UniRef100	Done	0.2	7192	342.5	7
J	J_EVcouplings_UniRef100	UniRef100	Done	0.3	2180	109	7
J	J_EVcouplings_UniRef100	UniRef100	Done	0.4	312	13	5
J	J_EVcouplings_UniRef100	UniRef100	Done	0.5	38	1.5	4
J	J_EVcouplings_UniRef100	UniRef100	Done	0.6	7	0.3	0
J	J_EVcouplings_UniRef100	UniRef100	Done	0.7	4	0.2	0
J	J_EVcouplings_UniRef100	UniRef100	Done	0.8	3	0.1	0
J	J_EVcouplings_UniRef100	UniRef100	Done	0.9	2	0.1	0
K	K_EVcouplings_UniRef100	UniRef100	Done	0.1	46335	1598	8
K	K_EVcouplings_UniRef100	UniRef100	Done	0.2	13558	467.5	7
K	K_EVcouplings_UniRef100	UniRef100	Done	0.3	1277	37.2	5
K	K_EVcouplings_UniRef100	UniRef100	Done	0.4	6	0.1	0
K	K_EVcouplings_UniRef100	UniRef100	Done	0.5	6	0.1	0
K	K_EVcouplings_UniRef100	UniRef100	Done	0.6	6	0.1	0
K	K_EVcouplings_UniRef100	UniRef100	Done	0.7	6	0.1	0
K	K_EVcouplings_UniRef100	UniRef100	Done	0.8	6	0.1	0
K	K_EVcouplings_UniRef100	UniRef100	Done	0.9	6	0.1	0
blat	blat_EVcouplings_UniRef100	UniRef100	Done	0.1	NA	NA	NA
blat	blat_EVcouplings_UniRef100	UniRef100	Done	0.2	52285	240.9	10
blat	blat_EVcouplings_UniRef100	UniRef100	Done	0.3	13368	52.8	10
blat	blat_EVcouplings_UniRef100	UniRef100	Done	0.4	10458	41.2	10
blat	blat_EVcouplings_UniRef100	UniRef100	Done	0.5	7647	29.3	10
blat	blat_EVcouplings_UniRef100	UniRef100	Done	0.6	5716	21.6	10
blat	blat_EVcouplings_UniRef100	UniRef100	Done	0.7	4372	16.6	10
blat	blat_EVcouplings_UniRef100	UniRef100	Done	0.8	4285	16.3	10
blat	blat_EVcouplings_UniRef100	UniRef100	Done	0.9	4202	16	10
A	A_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	124	0.3	2
A	A_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	122	0.3	2
A	A_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	100	0.2	0
A	A_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	14	0	0
A	A_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	12	0	0
A	A_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	11	0	0
A	A_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	11	0	0
A	A_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	11	0	0
A	A_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	7	0	0
Astar	Astar_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	3131	17.1	10
Astar	Astar_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	125	0.4	2
Astar	Astar_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	127	0.4	1
Astar	Astar_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	122	0.4	2
Astar	Astar_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	91	0.3	0
Astar	Astar_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	15	0	0
Astar	Astar_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	15	0	0
Astar	Astar_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	13	0	0
Astar	Astar_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	12	0	0
B	B_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	NA	NA	NA
B	B_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	583	8.1	4
B	B_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	11	0.1	0
B	B_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	10	0.1	0
B	B_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	9	0.1	0
B	B_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	9	0.1	0
B	B_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	5	0	0
B	B_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	5	0	0
B	B_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	5	0	0
C	C_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	NA	NA	NA
C	C_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	29612	558.7	8
C	C_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	11	0.1	0
C	C_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	13	0.1	0
C	C_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	10	0.1	0
C	C_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	6	0.1	0
C	C_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	6	0.1	0
C	C_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	6	0.1	0
C	C_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	6	0.1	0
D	D_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	32787	683.1	8
D	D_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	159	1.1	3
D	D_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	165	1.2	3
D	D_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	159	1.1	3
D	D_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	157	1.1	3
D	D_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	109	0.8	3
D	D_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	95	0.7	2
D	D_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	12	0.1	0
D	D_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	12	0.1	0
E	E_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	NA	NA	NA
E	E_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	3135	66.7	6
E	E_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	7	0.1	0
E	E_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	7	0.1	0
E	E_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	7	0.1	0
E	E_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	7	0.1	0
E	E_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	7	0.1	0
E	E_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	7	0.1	0
E	E_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	7	0.1	0
F	F_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	3312	8.5	10
F	F_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	3229	8.4	10
F	F_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	2974	8.6	10
F	F_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	161	0.4	2
F	F_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	116	0.3	0
F	F_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	114	0.3	0
F	F_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	106	0.3	0
F	F_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	92	0.2	0
F	F_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	85	0.2	0
G	G_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	13731	149.3	10
G	G_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	14	0.1	0
G	G_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	13	0.1	0
G	G_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	13	0.1	0
G	G_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	12	0.1	0
G	G_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	12	0.1	0
G	G_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	12	0.1	0
G	G_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	10	0.1	0
G	G_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	5	0	0
H	H_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	74	0.2	0
H	H_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	13	0	0
H	H_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	13	0	0
H	H_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	8	0	0
H	H_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	7	0	0
H	H_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	7	0	0
H	H_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	7	0	0
H	H_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	7	0	0
H	H_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	7	0	0
J	J_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	17661	929.5	8
J	J_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	10599	557.8	8
J	J_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	4828	219.4	7
J	J_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	430	20.5	6
J	J_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	129	5.6	6
J	J_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	10	0.3	0
J	J_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	6	0.2	0
J	J_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	7	0.2	0
J	J_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	4	0.1	0
K	K_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	NA	NA	NA
K	K_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	NA	NA	NA
K	K_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	3639	117.4	6
K	K_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	129	3.3	5
K	K_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	4	0.1	0
K	K_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	4	0.1	0
K	K_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	4	0.1	0
K	K_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	4	0.1	0
K	K_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	4	0.1	0
blat	blat_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.1	NA	NA	NA
blat	blat_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.2	NA	NA	NA
blat	blat_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.3	17175	73.1	10
blat	blat_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.4	12728	51.3	10
blat	blat_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.5	9374	37.2	10
blat	blat_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.6	5288	20.4	10
blat	blat_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.7	3141	11.9	10
blat	blat_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.8	2734	10.4	10
blat	blat_EVcouplings_MGnify_UniProt	MGnify_UniProt	Done	0.9	2536	9.6	10
